1	1	35.269022	23.226340	0.459684	0.504311	5.242974	3.000000	0.128929	49.418998	5.000000	0.011928
2	1	25.926245	25.376591	0.326334	0.588785	10.365184	5.000000	0.115384	4.604147	4.000000	0.016434
3	2	72.554192	70.979717	0.495133	0.424338	10.169093	4.000000	0.018170	17.744111	5.000000	0.042856
4	2	42.184594	89.561447	0.197675	0.906021	19.358688	3.000000	0.029371	14.490637	5.000000	0.038571
5	1	5.260431	29.922096	0.760677	0.450020	26.746573	3.000000	0.010768	17.706012	1.000000	0.088252
6	2	40.565237	45.474216	0.177678	0.811236	23.192574	6.000000	0.038571	42.272193	2.000000	0.038615
7	1	75.233635	93.224402	0.648826	0.994263	36.140729	5.000000	0.038300	6.593646	2.000000	0.015530
8	1	25.896782	54.766343	0.262539	0.157935	40.766700	5.000000	0.012434	38.478475	1.000000	0.014572
9	1	58.608224	91.458539	0.888682	0.712146	17.566820	2.000000	0.020543	42.228193	5.000000	0.046919
10	1	31.464255	72.896423	0.692698	0.403520	49.674720	3.000000	0.043713	38.571139	6.000000	0.010209
11	1	49.001248	99.104376	0.783574	0.398358	36.830382	4.000000	0.015036	37.431309	4.000000	0.012414
12	1	72.327732	55.577005	0.542148	0.243538	43.884664	6.000000	0.012062	46.163225	1.000000	0.018938
13	1	38.647629	16.608871	0.658057	0.666703	13.230645	3.000000	0.011287	53.075248	1.000000	0.016834
14	2	79.235913	42.255886	0.707051	0.161420	46.008580	2.000000	0.038615	21.238566	2.000000	0.018259
15	1	62.438088	51.202813	0.353157	0.833748	44.458965	1.000000	0.112039	19.843835	3.000000	0.012374
16	2	47.322677	47.369527	0.761659	0.597981	3.761380	5.000000	0.068002	24.380602	5.000000	0.014429
17	1	76.460831	61.082739	0.492359	0.892822	41.819036	3.000000	0.016708	10.755443	2.000000	0.015670
18	1	55.172617	83.052990	0.726084	0.687233	6.347586	4.000000	0.186306	19.309094	2.000000	0.079528
19	2	51.370775	50.454978	0.586689	0.707447	16.195816	6.000000	0.029570	24.948080	2.000000	0.031351
